"Threshold","FPR","TPR","EvalWeighting","Design","Model","TrainWeighting","Fold","AUC"
0.842367280877343,0,0.166666666666667,"record_equal","fivefold","M3","species_equal",2,0.868055555555556
0.82656225713078,0.166666666666667,0.666666666666667,"record_equal","fivefold","M3","species_equal",2,0.868055555555556
0.762198858535771,0.166666666666667,0.916666666666667,"record_equal","fivefold","M3","species_equal",2,0.868055555555556
0.654550928704096,0.583333333333333,0.916666666666667,"record_equal","fivefold","M3","species_equal",2,0.868055555555556
0.557586182997399,0.583333333333333,1,"record_equal","fivefold","M3","species_equal",2,0.868055555555556
0.272112728991704,1,1,"record_equal","fivefold","M3","species_equal",2,0.868055555555556
Inf,0,0,"record_equal","fivefold","M3","species_equal",3,0.635338345864662
0.831259581316725,0.285714285714286,0.315789473684211,"record_equal","fivefold","M3","species_equal",3,0.635338345864662
0.819289176970116,0.428571428571429,0.368421052631579,"record_equal","fivefold","M3","species_equal",3,0.635338345864662
0.803341458820982,0.428571428571429,0.789473684210526,"record_equal","fivefold","M3","species_equal",3,0.635338345864662
0.777542513172903,0.571428571428571,0.789473684210526,"record_equal","fivefold","M3","species_equal",3,0.635338345864662
0.772293175593836,0.571428571428571,1,"record_equal","fivefold","M3","species_equal",3,0.635338345864662
0.425134951145298,1,1,"record_equal","fivefold","M3","species_equal",3,0.635338345864662
Inf,0,0,"record_equal","fivefold","M3","species_equal",4,0.962962962962963
0.815514790130713,0,0.425925925925926,"record_equal","fivefold","M3","species_equal",4,0.962962962962963
0.786307617840537,0,0.62962962962963,"record_equal","fivefold","M3","species_equal",4,0.962962962962963
0.765600011162305,0,0.703703703703704,"record_equal","fivefold","M3","species_equal",4,0.962962962962963
0.755977035988529,0,0.796296296296296,"record_equal","fivefold","M3","species_equal",4,0.962962962962963
0.738452305733776,0.166666666666667,0.944444444444444,"record_equal","fivefold","M3","species_equal",4,0.962962962962963
0.684846827492587,0.166666666666667,0.981481481481482,"record_equal","fivefold","M3","species_equal",4,0.962962962962963
0.679534007044768,0.833333333333333,0.981481481481482,"record_equal","fivefold","M3","species_equal",4,0.962962962962963
0.569855205060309,1,0.981481481481482,"record_equal","fivefold","M3","species_equal",4,0.962962962962963
0.424291244214184,1,1,"record_equal","fivefold","M3","species_equal",4,0.962962962962963
Inf,0,0,"record_equal","fivefold","M3","species_equal",5,0.65625
0.861231009400203,0,0.125,"record_equal","fivefold","M3","species_equal",5,0.65625
0.813670143315865,0.333333333333333,0.5625,"record_equal","fivefold","M3","species_equal",5,0.65625
0.810813593992975,0.333333333333333,0.625,"record_equal","fivefold","M3","species_equal",5,0.65625
0.751384621522184,0.333333333333333,0.6875,"record_equal","fivefold","M3","species_equal",5,0.65625
0.575537612426421,0.833333333333333,0.8125,"record_equal","fivefold","M3","species_equal",5,0.65625
0.572777355621354,0.833333333333333,1,"record_equal","fivefold","M3","species_equal",5,0.65625
0.264384308081083,1,1,"record_equal","fivefold","M3","species_equal",5,0.65625
Inf,0,0,"record_equal","tenfold","Null","record_equal",1,0.5
0.749857653177462,1,1,"record_equal","tenfold","Null","record_equal",1,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",2,0.5
0.776832025251512,1,1,"record_equal","tenfold","Null","record_equal",2,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",3,0.5
0.764498730289167,1,1,"record_equal","tenfold","Null","record_equal",3,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",4,0.5
0.729128624821564,1,1,"record_equal","tenfold","Null","record_equal",4,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",5,0.5
0.738990304832763,1,1,"record_equal","tenfold","Null","record_equal",5,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",6,0.5
0.756815652695797,1,1,"record_equal","tenfold","Null","record_equal",6,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",7,0.5
0.747869508001179,1,1,"record_equal","tenfold","Null","record_equal",7,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",8,0.5
0.763102963603441,1,1,"record_equal","tenfold","Null","record_equal",8,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",9,0.5
0.77777865918406,1,1,"record_equal","tenfold","Null","record_equal",9,0.5
Inf,0,0,"record_equal","tenfold","Null","record_equal",10,0.5
0.786986365183889,1,1,"record_equal","tenfold","Null","record_equal",10,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",1,0.5
0.679674227079295,1,1,"record_equal","tenfold","Null","species_equal",1,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",2,0.5
0.688612362763235,1,1,"record_equal","tenfold","Null","species_equal",2,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",3,0.5
0.708014159278454,1,1,"record_equal","tenfold","Null","species_equal",3,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",4,0.5
0.666152511407982,1,1,"record_equal","tenfold","Null","species_equal",4,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",5,0.5
0.660798076216914,1,1,"record_equal","tenfold","Null","species_equal",5,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",6,0.5
0.723729044646853,1,1,"record_equal","tenfold","Null","species_equal",6,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",7,0.5
0.679642850596773,1,1,"record_equal","tenfold","Null","species_equal",7,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",8,0.5
0.689498755519513,1,1,"record_equal","tenfold","Null","species_equal",8,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",9,0.5
0.697446922836613,1,1,"record_equal","tenfold","Null","species_equal",9,0.5
Inf,0,0,"record_equal","tenfold","Null","species_equal",10,0.5
0.724592710609252,1,1,"record_equal","tenfold","Null","species_equal",10,0.5
Inf,0,0,"record_equal","tenfold","M1","record_equal",1,0.666666666666667
0.849461968299151,0,0.444444444444444,"record_equal","tenfold","M1","record_equal",1,0.666666666666667
0.841207256792755,0,0.666666666666667,"record_equal","tenfold","M1","record_equal",1,0.666666666666667
0.58167128894649,1,0.666666666666667,"record_equal","tenfold","M1","record_equal",1,0.666666666666667
0.461863394236331,1,1,"record_equal","tenfold","M1","record_equal",1,0.666666666666667
Inf,0,0,"record_equal","tenfold","M1","record_equal",2,0.74
0.872570003679452,0,0.2,"record_equal","tenfold","M1","record_equal",2,0.74
0.855081046520426,0.2,0.8,"record_equal","tenfold","M1","record_equal",2,0.74
0.678002704197769,1,0.8,"record_equal","tenfold","M1","record_equal",2,0.74
0.409675051814763,1,1,"record_equal","tenfold","M1","record_equal",2,0.74
Inf,0,0,"record_equal","tenfold","M1","record_equal",3,0.861111111111111
0.862571373190332,0,0.166666666666667,"record_equal","tenfold","M1","record_equal",3,0.861111111111111
0.836956095483325,0.333333333333333,1,"record_equal","tenfold","M1","record_equal",3,0.861111111111111
0.273509858385956,1,1,"record_equal","tenfold","M1","record_equal",3,0.861111111111111
Inf,0,0,"record_equal","tenfold","M1","record_equal",4,0.75
0.854576544825271,0,0.1,"record_equal","tenfold","M1","record_equal",4,0.75
0.830546734610964,0,0.65,"record_equal","tenfold","M1","record_equal",4,0.75
0.816895581411121,1,0.85,"record_equal","tenfold","M1","record_equal",4,0.75
0.714624985981098,1,1,"record_equal","tenfold","M1","record_equal",4,0.75
Inf,0,0,"record_equal","tenfold","M1","record_equal",5,0.666666666666667
0.825846336353863,0,0.4,"record_equal","tenfold","M1","record_equal",5,0.666666666666667
0.705370993572838,1,0.933333333333333,"record_equal","tenfold","M1","record_equal",5,0.666666666666667
