"Case","Mode","Parameter","Stan","Reference","AbsError","ScaledError"
"grid_26","a_b","b",2.48224489599067,2.48224489599854,7.86704035249386e-12,3.1693248176986e-12
"grid_27","a_b","a",-4.58541749757531,-4.58541749757468,6.32383034826489e-13,1.37911768156546e-13
"grid_27","a_b","b",3.80445122879156,3.80445122870772,8.38373814815441e-11,2.20366556019753e-11
"grid_28","a_b","a",-4.6011801964119,-4.60118019641224,3.37507799486048e-13,7.33524411300428e-14
"grid_28","a_b","b",5.39608731248782,5.39608731302603,5.38209476985685e-10,9.97406909422055e-11
"grid_29","a_b","a",18.5900145608071,18.5900145608449,3.78364006792253e-11,2.03530774843598e-12
"grid_29","a_b","b",-0.00269195351840457,-0.00269195351852621,1.21643580625053e-13,1.21643580625053e-13
"grid_30","a_b","a",3.44845827877987,3.448458278781,1.13464793116691e-12,3.29030494046747e-13
"grid_30","a_b","b",0.000101085629978223,0.000101085629972131,6.09234884763055e-15,6.09234884763055e-15
"grid_31","a_b","a",-0.923413246933729,-0.923413246935826,2.096989248912e-12,2.096989248912e-12
"grid_31","a_b","b",0.0148146710646442,0.0148146710646465,2.25340579529387e-15,2.25340579529387e-15
"grid_32","a_b","a",-2.32743939191344,-2.32743939191593,2.49222864567855e-12,1.0708028120238e-12
"grid_32","a_b","b",0.0879585292071513,0.0879585292071106,4.07035516403198e-14,4.07035516403198e-14
"grid_33","a_b","a",-3.92718997983111,-3.92718997983295,1.83542070431031e-12,4.67362341454228e-13
"grid_33","a_b","b",0.688321727523617,0.688321727520247,3.37019301355213e-12,3.37019301355213e-12
"grid_34","a_b","a",-4.38653816415931,-4.38653816415714,2.17159623616681e-12,4.9505923689691e-13
"grid_34","a_b","b",1.60746994931198,1.6074699493231,1.11219922160899e-11,6.91894254121099e-12
"grid_35","a_b","a",-4.55735669874205,-4.5573566987423,2.47801779096335e-13,5.43740144730654e-14
"grid_35","a_b","b",3.04403926360746,3.04403926366679,5.93338711496472e-11,1.94918218887146e-11
"grid_36","a_b","a",19.7845074433822,19.7845074433656,1.66373581578227e-11,8.40928600595605e-13
"grid_36","a_b","b",-0.00272358606703945,-0.00272358606704104,1.59247615094671e-15,1.59247615094671e-15
"grid_37","a_b","a",4.63136404429829,4.63136404428716,1.11359810262002e-11,2.40447110607436e-12
"grid_37","a_b","b",-0.00214850566407859,-0.00214850566406429,1.43032287402978e-14,1.43032287402978e-14
"grid_38","a_b","a",0.231916493126108,0.23191649312281,3.2978619834978e-12,3.2978619834978e-12
"grid_38","a_b","b",0.000770419259177202,0.000770419259175,2.20190619210081e-15,2.20190619210081e-15
"grid_39","a_b","a",-1.05872353842836,-1.05872353842792,4.47419878923938e-13,4.22603127902782e-13
"grid_39","a_b","b",0.0168575774165784,0.0168575774164986,7.97625854254136e-14,7.97625854254136e-14
"grid_40","a_b","a",-3.00850253650388,-3.00850253650336,5.15143483426073e-13,1.71229200300027e-13
"grid_40","a_b","b",0.213799769236339,0.213799769236456,1.16490150858795e-13,1.16490150858795e-13
"grid_41","a_b","a",-3.91582168657841,-3.9158216865772,1.21147536447097e-12,3.09379604445144e-13
"grid_41","a_b","b",0.684399160882312,0.6843991608811,1.21214149828575e-12,1.21214149828575e-12
"grid_42","a_b","a",-4.4237672804684,-4.42376728046706,1.34559030584569e-12,3.04172941417394e-13
"grid_42","a_b","b",1.78380460324587,1.78380460323998,5.89506221615466e-12,3.30476903437029e-12
